dataset_id	age_stratum	endpoint	clinical_role	score_stratum	score_stratum_definition	n	event_n	event_rate	mean_axis_score_z	median_axis_score_z	interpretation
GSE73661	adult	Mucosal healing	adult direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	21	8	0.380952	-1.19532	-1.13124	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE73661	adult	Mucosal healing	adult direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	21	7	0.333333	0.102054	0.0652702	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE73661	adult	Mucosal healing	adult direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	22	2	0.0909091	1.04357	0.964491	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE12251	adult	Week 8 endoscopic and histologic healing	adult direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	7	6	0.857143	-1.06058	-0.719287	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE12251	adult	Week 8 endoscopic and histologic healing	adult direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	7	4	0.571429	-0.0354981	-0.101784	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE12251	adult	Week 8 endoscopic and histologic healing	adult direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	8	2	0.25	0.959068	0.776665	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE92415	adult	Week 6 clinical response	adult direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	29	19	0.655172	-1.10907	-0.904978	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE92415	adult	Week 6 clinical response	adult direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	29	12	0.413793	0.021539	-0.00099306	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE92415	adult	Week 6 clinical response	adult direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	29	12	0.413793	1.08753	1.1147	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE206285	adult	Week 8 mucosal healing	adult direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	181	44	0.243094	-1.12864	-0.941094	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
