figure	panel	script	source_tables	figure_source_data	output_png	output_pdf	output_svg
Figure 1	A-C	scripts/24_make_submission_grade_figures.py	docs/BARRIER_AXIS_DEFINITION.md;docs/AGE_STRATIFIED_MODELING_PLAN.md;results/dataset_summary.tsv;results/clinical/age_stratified_endpoint_models.tsv	results/figures/source_data/Figure1_study_architecture_source_data.tsv	plots/publication/submission_grade/Figure1_study_architecture.png	plots/publication/submission_grade/Figure1_study_architecture.pdf	plots/publication/submission_grade/Figure1_study_architecture.svg
Figure 2	A-C	scripts/24_make_submission_grade_figures.py	results/clinical/clinical_score_strata_summary.tsv;results/clinical/age_stratified_endpoint_models.tsv;data/processed/GSE73661/baseline_endpoint.tsv;data/processed/GSE206285/baseline_endpoint.tsv	results/figures/source_data/Figure2_adult_score_strata_source_data.tsv;results/figures/source_data/Figure2_adult_endpoint_models_source_data.tsv	plots/publication/submission_grade/Figure2_adult_endpoint_evidence.png	plots/publication/submission_grade/Figure2_adult_endpoint_evidence.pdf	plots/publication/submission_grade/Figure2_adult_endpoint_evidence.svg
Figure 3	A-B	scripts/24_make_submission_grade_figures.py	results/clinical/age_stratified_endpoint_models.tsv;results/dataset_summary.tsv	results/figures/source_data/Figure3_age_stratified_atlas_source_data.tsv	plots/publication/submission_grade/Figure3_age_stratified_atlas.png	plots/publication/submission_grade/Figure3_age_stratified_atlas.pdf	plots/publication/submission_grade/Figure3_age_stratified_atlas.svg
Figure 4	A-B	scripts/24_make_submission_grade_figures.py	results/clinical/age_stratified_endpoint_models.tsv;results/meta/non_poolable_endpoints.tsv;results/validation/evidence_grading.tsv	results/figures/source_data/Figure4_evidence_grading_source_data.tsv;results/figures/source_data/Figure4_non_pooling_source_data.tsv;results/figures/source_data/Figure4_specificity_feasibility_source_data.tsv	plots/publication/submission_grade/Figure4_evidence_synthesis.png	plots/publication/submission_grade/Figure4_evidence_synthesis.pdf	plots/publication/submission_grade/Figure4_evidence_synthesis.svg
Supplementary Figure 1	A	scripts/24_make_submission_grade_figures.py	results/clinical/age_stratified_endpoint_models.tsv	results/figures/source_data/FigureS1_sensitivity_models_source_data.tsv	plots/publication/submission_grade/FigureS1_sensitivity_models.png	plots/publication/submission_grade/FigureS1_sensitivity_models.pdf	plots/publication/submission_grade/FigureS1_sensitivity_models.svg
Supplementary Figure 2	A	scripts/24_make_submission_grade_figures.py	data/processed/GSE73661/baseline_endpoint.tsv;data/processed/GSE206285/baseline_endpoint.tsv	results/figures/source_data/FigureS2_module_detail_source_data.tsv	plots/publication/submission_grade/FigureS2_score_module_detail.png	plots/publication/submission_grade/FigureS2_score_module_detail.pdf	plots/publication/submission_grade/FigureS2_score_module_detail.svg
Supplementary Figure 3	A	scripts/24_make_submission_grade_figures.py	data/processed/GSE206285/baseline_endpoint.tsv	results/figures/source_data/FigureS3_gse206285_remission_source_data.tsv	plots/publication/submission_grade/FigureS3_gse206285_remission.png	plots/publication/submission_grade/FigureS3_gse206285_remission.pdf	plots/publication/submission_grade/FigureS3_gse206285_remission.svg
Supplementary Figure 9	A	scripts/46_rebuttal_strengthening_figures.py	results/benchmarks/comparator_signature_benchmark.tsv	results/figures/source_data/FigureS9_comparator_benchmark_source_data.tsv	plots/publication/submission_grade/FigureS9_comparator_benchmark.png	plots/publication/submission_grade/FigureS9_comparator_benchmark.pdf	plots/publication/submission_grade/FigureS9_comparator_benchmark.svg
Supplementary Figure 10	A	scripts/46_rebuttal_strengthening_figures.py	results/clinical/GSE193677_biopsy_selection_sensitivity.tsv	results/figures/source_data/FigureS10_GSE193677_biopsy_sensitivity_source_data.tsv	plots/publication/submission_grade/FigureS10_GSE193677_biopsy_sensitivity.png	plots/publication/submission_grade/FigureS10_GSE193677_biopsy_sensitivity.pdf	plots/publication/submission_grade/FigureS10_GSE193677_biopsy_sensitivity.svg
Supplementary Figure 11	A	scripts/46_rebuttal_strengthening_figures.py	results/validation/matched_null_benchmark.tsv;results/validation/matched_null_iterations.tsv	results/figures/source_data/FigureS11_matched_null_source_data.tsv	plots/publication/submission_grade/FigureS11_matched_null.png	plots/publication/submission_grade/FigureS11_matched_null.pdf	plots/publication/submission_grade/FigureS11_matched_null.svg
